target,OverallQual,GrLivArea,Neighborhood,x1stFlrSF,TotalBsmtSF,BsmtFinSF1,LotArea,GarageCars,MSSubClass,GarageArea,YearRemodAdd,YearBuilt
201e3,7,1560,Mitchel,1560,1560,0,9196,2,_20,573,2003,2003
228e3,7,2097,SawyerW,1080,1080,50,11228,3,_60,678,1993,1993
181e3,6,1690,Gilbert,948,924,0,8063,2,_60,463,2e3,2e3
134450,5,1236,NAmes,1236,1070,360,10011,1,_20,447,1996,1957
79500,5,935,BrkSide,779,742,0,9100,1,_40,308,1960,1930
145e3,6,1958,Crawfor,979,979,484,7136,2,_90,492,1950,1946
35e4,9,2224,NridgHt,1462,1462,1170,8834,3,_60,738,2005,2004
372402,8,1710,NridgHt,1710,1710,1400,13891,3,_20,866,2008,2007
197e3,7,1725,NWAmes,1040,539,315,11584,2,_60,550,1979,1979
153900,5,1416,OldTown,876,876,0,12665,3,_50,720,1950,1915
169500,5,1812,NAmes,876,864,540,7590,1,_60,264,1962,1962
14e4,7,1164,NWAmes,1164,1164,0,9600,2,_20,528,1969,1969
215200,7,1547,Somerst,764,756,24,8640,2,_60,614,2009,2009
119e3,4,948,Edwards,948,948,732,8190,1,_20,280,1954,1954
193500,6,2142,NAmes,1182,896,448,13e3,1,_60,509,1968,1968
188e3,5,1728,Mitchel,1728,1728,1606,9297,2,_90,560,1976,1976
8e4,5,1006,Sawyer,1006,1006,288,9e3,0,_20,0,1959,1959
23e4,6,1811,Crawfor,1811,1073,296,14115,2,_20,470,2004,1956
235e3,7,2263,NWAmes,1468,795,795,16659,2,_60,539,1994,1977
132250,4,1040,Mitchel,1040,1064,633,25286,2,_20,648,1963,1963
107900,4,901,OldTown,901,901,0,6e3,1,_20,281,2e3,1954
374e3,9,1792,NridgHt,1792,1792,1567,11846,3,_20,874,2004,2003
134432,4,1588,ClearCr,1120,0,0,17120,2,_50,680,1959,1959
141500,5,1539,BrkSide,1067,927,0,6120,2,_50,576,1950,1936
264561,8,1567,Blmngtn,1567,1520,1154,3982,3,_120,648,2006,2006
26e4,8,2417,NoRidge,1301,1288,0,16059,2,_60,462,1992,1991
24e4,6,2614,NWAmes,1548,1522,956,10800,2,_60,624,1997,1974
250580,7,1372,Somerst,1372,1372,0,8640,2,_20,529,2008,2007
236e3,7,2256,Gilbert,980,952,300,8795,2,_60,554,2e3,2e3
85e3,5,1112,MeadowV,536,536,129,2592,1,_160,336,1976,1976
243e3,6,2158,Edwards,2158,1202,477,12615,2,_20,576,2001,1950
256e3,4,1663,ClearCr,1663,1364,1116,53227,2,_20,529,1994,1954
302e3,8,2810,NoRidge,1453,1453,482,9572,2,_60,750,1990,1990
167e3,7,1277,NAmes,1277,1277,778,10628,2,_20,526,1970,1970
167900,6,1334,NWAmes,1334,1350,686,9650,2,_20,630,1977,1977
412500,9,2668,NridgHt,1572,1572,1016,13688,3,_60,726,2004,2003
299800,8,2715,NWAmes,1175,1142,575,8963,2,_60,831,1996,1976
219210,7,1863,Gilbert,879,879,0,14054,3,_60,660,2006,2006
1e5,4,1123,IDOTRR,772,732,0,6060,1,_50,264,1950,1939
275e3,8,1904,NridgHt,1058,1058,546,10927,2,_60,736,2005,2005
109e3,5,1034,OldTown,735,735,0,10134,1,_50,240,1950,1940
236e3,7,1949,SawyerW,1062,1050,750,9938,2,_60,574,1994,1993
244600,8,1468,Somerst,1468,1468,0,9612,3,_20,898,2009,2008
144e3,6,848,CollgCr,848,848,685,4435,2,_120,420,2004,2003
125e3,6,1125,Edwards,1125,1041,631,7200,1,_80,352,1976,1976
136500,6,1694,SWISU,1390,1181,423,8400,2,_50,576,1950,1925
201e3,8,1466,Timber,1466,1466,16,8925,3,_20,610,2007,2007
214e3,6,1933,Somerst,894,894,0,14598,3,_60,668,2007,2007
125e3,5,912,Sawyer,912,912,842,8521,1,_20,336,1967,1967
277e3,6,2144,ClearCr,1444,1444,697,159e3,2,_50,389,2006,1958
25e4,7,2784,NWAmes,1392,1392,790,16692,2,_60,564,1978,1978
191e3,7,1504,Blmngtn,1504,1346,16,3182,2,_120,437,2006,2005
26e4,7,1734,CollgCr,1734,1734,1300,11645,2,_20,660,2005,2005
163900,7,1482,Gilbert,812,384,0,9125,2,_80,392,1992,1992
31e4,8,2520,NoRidge,1352,1338,1012,14541,3,_60,796,1993,1993
285e3,9,1668,CollgCr,1668,1626,1059,11248,3,_20,702,2002,2002
128e3,6,1362,BrkSide,751,611,0,6155,2,_70,502,1999,1920
8e4,4,924,Edwards,672,672,348,12180,1,_190,280,1950,1941
112e3,5,833,Mitchel,833,833,625,8780,0,_20,0,1985,1985
105e3,5,1376,NAmes,968,768,368,9492,1,_50,240,1950,1941
179e3,6,1800,Gilbert,1007,982,0,8123,2,_60,463,2e3,2e3
237500,6,2117,NAmes,2117,1205,865,12925,2,_20,550,1970,1970
127e3,5,1507,NAmes,1507,1075,666,7910,1,_80,404,1960,1960
149500,6,1505,NAmes,1505,1505,1024,12160,2,_20,505,1953,1953
195e3,7,1660,CollgCr,831,831,0,8935,2,_60,493,2002,2002
189e3,7,1804,Gilbert,1028,994,0,7500,2,_60,442,1999,1999
265900,8,1484,Timber,1484,1476,428,9037,2,_20,472,2006,2006
16e4,7,1252,Somerst,624,600,510,2160,2,_160,462,2e3,1999
97500,6,1458,NAmes,912,912,0,17503,1,_50,330,1950,1948
122e3,5,900,Sawyer,900,882,450,9819,1,_20,280,1967,1967
139e3,5,1056,NAmes,1056,1056,846,8176,1,_20,308,1992,1958
148e3,5,914,CollgCr,914,870,298,8846,2,_85,576,1996,1996
106e3,5,2138,OldTown,1075,849,0,8100,2,_75,360,1965,1898
21e4,7,1908,CollgCr,933,915,642,8750,2,_60,493,1995,1994
156e3,6,1026,NAmes,1026,1026,439,7930,2,_20,440,2005,1969
222e3,7,1478,Somerst,1478,1470,578,4403,2,_20,484,2009,2009
108e3,5,672,Sawyer,672,672,0,10200,1,_30,240,1997,1940
216837,7,1836,CollgCr,1836,1860,24,9100,2,_20,484,2005,2004
55e3,4,1092,IDOTRR,372,0,0,5600,0,_190,0,1950,1930
115e3,5,1344,BrkSide,896,896,0,6240,1,_50,240,1950,1936
146800,6,1062,Mitchel,1062,1029,539,11333,2,_80,539,1976,1976
278e3,8,1659,StoneBr,1659,1501,1158,5664,2,_120,499,2e3,2e3
61e3,1,904,Edwards,904,683,350,10020,0,_30,0,1950,1922
141e3,4,864,Gilbert,864,864,120,19138,2,_20,400,1951,1951
152e3,5,1558,IDOTRR,910,910,420,13710,1,_50,282,1950,1950
129e3,4,1120,Sawyer,1120,1040,932,6970,2,_20,544,1961,1961
144e3,5,912,Sawyer,912,912,737,12968,1,_20,352,1962,1962
172500,6,1471,Somerst,742,729,381,3230,2,_160,440,1999,1999
181e3,6,1604,Gilbert,926,926,0,10839,2,_60,470,1998,1997
82e3,4,1152,Edwards,1152,0,0,6040,0,_90,0,1955,1955
67e3,3,864,Edwards,864,864,41,8248,0,_30,0,1950,1914
131e3,6,1218,BrkSide,869,735,375,6e3,2,_50,440,1950,1941
237e3,8,2031,CollgCr,1128,1128,804,9473,2,_60,577,2002,2002
165600,6,1501,Gilbert,697,697,518,7685,2,_60,420,1994,1993
24e4,8,2090,CollgCr,1220,1220,1079,1e4,2,_60,556,1996,1995
159500,7,2554,OldTown,1576,718,0,10800,2,_70,704,1998,1890
106500,5,882,NAmes,882,0,0,8339,1,_20,294,1959,1959
158e3,6,1445,NAmes,1445,1127,564,12095,2,_80,645,1964,1964
235e3,8,1625,Crawfor,1625,1573,1573,4750,2,_120,538,2007,2006
235e3,7,1525,CollgCr,1525,1525,1400,9100,2,_20,541,2e3,2e3
202665,7,1368,NridgHt,1368,1368,0,6792,2,_120,474,2006,2005
87e3,5,803,IDOTRR,803,720,116,5e3,2,_45,360,1950,1941
18e4,7,1668,CollgCr,840,840,0,11317,2,_60,500,2003,2003
28e4,7,1533,ClearCr,1533,1533,655,70761,2,_20,576,1975,1975
67e3,5,1077,IDOTRR,1077,961,0,8967,1,_30,338,1950,1920
87e3,5,840,OldTown,840,672,116,4388,0,_45,0,1950,1930
106500,4,951,IDOTRR,951,951,285,8765,1,_30,327,1950,1936
15e4,5,1053,NAmes,1053,1008,567,8973,2,_20,750,1991,1958
214e3,7,1535,NridgHt,1535,1517,2,10171,2,_20,532,2004,2004
13e4,5,1964,SWISU,1024,940,0,8525,0,_70,0,1950,1911
173e3,6,1640,SawyerW,798,798,0,8366,2,_60,520,2004,2004
128e3,5,1063,NAmes,1063,1056,354,9920,1,_20,280,1954,1954
166e3,6,1392,NAmes,1392,1392,1040,11900,2,_20,458,1957,1957
165e3,5,1383,Sawyer,1383,1383,1064,13284,1,_20,354,1954,1954
125e3,6,1200,OldTown,1200,1200,0,11340,1,_30,312,1950,1923
155e3,7,1826,OldTown,916,910,299,2500,1,_70,164,2005,1915
274e3,8,1518,NridgHt,1518,1518,1218,12677,2,_120,588,2004,2003
200100,7,1802,Crawfor,901,793,352,7588,1,_70,216,1950,1920
248e3,7,1850,NoRidge,979,973,595,29959,2,_60,467,1994,1994
79e3,6,1096,Edwards,572,572,0,9600,0,_50,0,1950,1924
145e3,5,1097,CollgCr,1097,1097,0,10859,2,_20,672,1995,1994
82e3,4,841,SawyerW,841,721,0,8400,1,_20,294,1950,1950
11e4,4,894,Edwards,894,894,552,9450,2,_20,400,1954,1954
118964,5,1535,SawyerW,1535,0,0,7018,2,_90,410,1979,1979
122e3,8,2358,OldTown,938,684,259,5250,0,_70,0,1987,1872
22e4,7,1604,CollgCr,1604,1604,1334,8814,2,_20,660,2006,2006
216e3,7,1674,Somerst,814,814,533,7500,2,_60,663,2e3,2e3
135e3,5,980,Sawyer,980,980,560,7064,2,_20,484,1977,1977
274970,6,2201,Edwards,1575,697,0,19690,2,_80,432,1966,1966
179540,7,1456,Gilbert,728,728,0,9018,2,_60,400,2007,2007
342643,9,2596,NridgHt,1249,1249,0,16259,3,_60,840,2006,2006
336e3,8,2612,NoRidge,1276,1225,854,12203,3,_60,676,1999,1998
159895,7,1266,Blmngtn,1266,1266,0,3182,2,_20,388,2007,2007
214e3,7,1536,CollgCr,1536,1536,810,9135,2,_20,532,2003,2002
185e3,7,1337,CollgCr,1337,1337,699,8450,2,_20,531,2003,2003
113e3,5,988,Mitchel,988,988,0,21750,2,_20,520,1954,1954
14e4,6,1095,NAmes,1095,588,513,10382,1,_190,264,1958,1958
177500,6,1573,Somerst,769,756,378,2117,2,_160,440,2e3,2e3
174e3,7,1555,Blmngtn,1555,1373,0,3684,3,_120,660,2007,2007
107400,3,1605,OldTown,840,840,0,5790,1,_50,379,1950,1915
207e3,6,1848,BrkSide,1053,833,0,13053,2,_50,370,2e3,1923
261500,8,1872,CollgCr,1299,1299,990,11885,2,_60,531,2001,2001
222e3,6,1680,Crawfor,1680,880,808,21695,2,_20,540,2007,1988
131500,6,848,CollgCr,848,848,659,4435,2,_120,420,2003,2003
187500,7,1472,NWAmes,1472,1372,1036,14115,2,_80,588,1980,1980
155e3,6,1052,ClearCr,1052,1010,504,8816,2,_80,440,1971,1971
128e3,6,1484,OldTown,742,742,0,6300,0,_75,0,2001,1914
11e4,5,924,CollgCr,924,924,0,7990,1,_20,280,1975,1975
121e3,6,952,BrkSide,952,952,0,8854,1,_30,192,1950,1916
185e3,7,1221,Somerst,1221,1221,410,7500,2,_20,400,2005,2004
132500,6,1412,BrkSide,825,780,0,6e3,1,_50,280,1950,1939
265979,7,2640,OldTown,1320,1240,0,11700,4,_70,864,2003,1880
188e3,7,1724,CollgCr,880,880,0,8924,2,_60,527,1999,1998
12e4,6,864,NAmes,864,864,414,7332,1,_20,288,1959,1959
1e5,5,968,OldTown,968,968,0,8520,2,_30,480,2006,1923
123e3,5,894,CollgCr,894,894,777,7200,2,_20,600,1972,1972
167e3,5,1486,Edwards,1486,1486,637,9937,2,_20,480,1999,1964
171500,6,1279,Mitchel,1279,1196,641,10125,2,_20,473,1977,1977
202900,8,1908,Timber,993,967,0,14191,2,_60,431,2002,2002
4e4,4,1317,IDOTRR,649,649,0,8500,1,_70,250,1950,1920
138500,5,894,Sawyer,894,894,553,8450,1,_20,336,2009,1965
84e3,4,845,Edwards,845,0,0,11500,1,_20,290,1957,1957
135e3,5,1236,Sawyer,1236,912,465,6993,1,_20,288,1994,1961
168e3,6,1572,Gilbert,806,806,0,10364,2,_60,373,1996,1995
215e3,7,1959,Gilbert,847,847,0,11796,2,_60,434,2005,2004
244e3,7,2223,NAmes,2223,2223,1880,13651,2,_20,516,1973,1973
225e3,7,2243,SawyerW,1122,700,700,13474,3,_60,746,1991,1990
172e3,5,1968,Mitchel,1168,784,562,11075,2,_60,530,1969,1969
25e4,8,2198,NoRidge,1145,1145,655,14260,3,_60,836,2e3,2e3
215e3,7,2093,NWAmes,1236,791,0,20544,2,_60,542,1991,1986
178e3,7,1212,CollgCr,1212,1212,0,9100,2,_20,573,2001,2001
85e3,5,796,Edwards,796,796,0,8777,0,_30,0,1950,1910
157e3,5,1336,Crawfor,1336,1165,841,15750,1,_190,375,1953,1953
185e3,6,1876,NWAmes,943,901,442,9120,2,_60,540,1974,1974
88e3,6,1092,BrDale,525,525,0,1680,1,_160,264,1971,1971
145e3,5,990,CollgCr,990,990,686,9245,2,_20,672,1995,1994
162900,7,1664,NWAmes,832,832,194,10140,2,_60,528,1976,1976
263e3,7,2094,Somerst,912,912,0,9375,2,_60,615,2004,2003
127500,6,1367,BrkSide,959,884,425,6240,1,_50,560,1950,1931
179900,6,1552,NWAmes,811,713,550,11475,2,_60,434,1975,1975
137500,6,1344,Timber,1344,819,111,14375,2,_20,525,1958,1958
266500,7,2340,Crawfor,1188,1152,275,9042,1,_70,252,2006,1941
143e3,6,848,CollgCr,848,848,662,4426,2,_120,420,2004,2004
195e3,6,2030,NWAmes,1118,848,156,12046,2,_60,551,1976,1976
206900,6,2112,NAmes,1092,952,500,11075,2,_60,576,1969,1969
135e3,4,1470,Edwards,997,941,0,8172,1,_50,548,1972,1954
118e3,5,698,Edwards,698,698,0,9405,0,_20,0,2008,1947
159e3,6,1394,NAmes,1394,1394,609,9500,2,_20,514,1963,1963
328900,9,1709,Somerst,1709,1698,1238,5119,2,_120,506,2e3,1999
239799,7,1962,CollgCr,1391,1391,464,8760,3,_60,868,2006,2006
158e3,6,1158,SawyerW,1158,1158,941,13072,2,_20,576,2004,2004
325e3,9,2504,StoneBr,1134,1122,0,11198,3,_60,656,2007,2005
145e3,6,1138,NAmes,1138,588,507,10482,1,_80,264,1958,1958
1e5,4,816,Edwards,816,816,690,8877,1,_20,288,1958,1938
395e3,8,1973,NridgHt,1973,1935,0,14226,3,_20,895,2006,2006
281e3,8,1970,NridgHt,1120,1085,0,11065,3,_60,753,2006,2006
134e3,5,1142,MeadowV,1142,1142,874,4224,2,_120,528,1976,1976
145900,5,2200,Edwards,1272,1272,1084,8777,0,_90,0,2003,1900
318061,9,1869,NridgHt,1869,1869,0,7820,2,_120,617,2007,2007
221500,7,1614,CollgCr,1614,1614,20,11210,3,_20,865,2006,2005
164e3,8,1752,Gilbert,1080,559,427,12134,2,_50,492,2005,1988
139e3,5,952,NAmes,952,952,852,7350,2,_20,840,1951,1951
93e3,4,936,OldTown,936,936,0,6e3,2,_20,576,1953,1953
19e4,7,1923,NoRidge,1061,750,674,10186,2,_60,564,1992,1992
145e3,5,1505,BrkSide,988,883,399,9144,1,_50,240,1982,1940
135e3,6,1004,Mitchel,1004,975,975,10530,2,_90,504,1977,1977
222500,7,2035,Gilbert,884,884,0,9505,2,_60,434,2001,2001
103600,6,1369,Edwards,697,672,551,6629,1,_70,300,1950,1925
84900,4,930,Edwards,930,0,0,11100,1,_20,308,2006,1946
133900,5,768,CollgCr,768,768,660,7200,1,_85,396,2003,1972
115e3,5,1304,MeadowV,616,264,0,2665,1,_160,336,1976,1976
131e3,5,1716,Edwards,1148,768,292,11409,1,_50,281,2008,1949
161e3,8,1666,OldTown,833,588,0,5100,1,_70,228,1996,1925
145e3,4,960,Sawyer,960,648,648,10246,1,_80,364,2001,1965
24e4,6,2358,ClearCr,1307,907,0,45600,2,_50,360,1997,1908
161500,6,1342,NWAmes,1342,1372,251,9790,2,_20,457,1967,1967
132e3,6,972,NAmes,972,972,680,8e3,1,_20,240,2002,1948
179900,6,1416,NWAmes,708,708,404,11700,2,_60,776,1968,1968
109900,5,904,Sawyer,904,876,0,7162,1,_20,408,1966,1966
29e4,7,2520,NoRidge,1214,1203,565,9950,3,_60,721,1995,1995
155e3,6,1348,NAmes,660,660,512,7590,2,_60,453,1966,1966
337e3,8,2365,NoRidge,1268,1252,1163,9430,3,_60,856,1999,1999
123e3,5,900,NAmes,900,864,769,7838,1,_85,288,1967,1967
207500,5,1600,NAmes,1600,1484,1277,16321,1,_20,319,1997,1957
239e3,6,2624,Crawfor,1370,1370,1128,22420,3,_70,864,1950,1918
281213,8,2482,Timber,1133,1094,0,12665,3,_60,642,2006,2005
386250,10,2392,NridgHt,2392,2392,56,13472,3,_20,968,2003,2003
301500,8,1987,NoRidge,1987,1986,1314,14303,2,_20,691,1994,1994
137e3,5,860,Sawyer,860,840,672,8740,2,_85,528,1982,1982
125e3,5,1164,Edwards,1164,1164,1040,10880,1,_190,240,1950,1950
11e4,5,1776,NAmes,1776,1584,0,11475,3,_90,888,1958,1958
112e3,5,1302,BrDale,630,630,0,1680,1,_160,280,1971,1971
255e3,8,1636,Somerst,1636,1623,63,13501,3,_20,865,2006,2006
27e4,8,1629,Timber,1629,1616,1300,14536,3,_20,808,2003,2002
293077,8,1646,Timber,1646,1638,1513,9520,3,_20,800,2008,2007
167900,6,1611,NAmes,798,780,674,9760,2,_60,442,1964,1964
55e3,4,796,IDOTRR,796,796,0,3636,0,_30,0,1950,1922
177500,6,1494,Crawfor,753,771,547,7500,1,_70,213,1950,1942
119500,5,950,NAmes,950,950,412,9758,1,_20,280,1971,1971
123e3,4,872,NAmes,872,858,0,8294,4,_20,480,1971,1971
277500,9,1561,NridgHt,1561,1561,1153,7313,2,_120,556,2005,2005
139e3,5,1339,NAmes,1339,1029,504,7560,1,_20,294,1965,1958
15e4,4,1440,Edwards,1440,1440,1440,7711,0,_90,0,1977,1977
104e3,6,2229,OldTown,929,755,0,5520,0,_75,0,1950,1912
235e3,7,1865,CollgCr,992,992,735,10316,3,_60,839,2e3,2e3
205e3,7,1541,CollgCr,1541,1541,0,13704,3,_20,843,2002,2001
130250,5,938,CollgCr,938,938,280,9200,1,_20,308,1980,1975
106250,4,1294,OldTown,694,0,0,10800,0,_190,0,2e3,1900
277e3,7,2062,SawyerW,1180,1157,1065,14364,2,_60,454,1989,1988
184100,8,1419,Gilbert,779,408,353,7750,2,_80,527,2002,2002
115e3,5,1771,Mitchel,1771,0,0,21750,2,_20,336,2006,1960
17e4,7,1173,NWAmes,1173,1053,885,10625,2,_85,528,1974,1974
378500,9,2018,Timber,2018,2002,0,13214,3,_20,746,2009,2008
147400,7,1223,Somerst,520,600,0,2544,2,_160,480,2005,2005
122500,5,1365,BrDale,765,765,471,1920,2,_160,440,1971,1971
135e3,4,1981,SWISU,1328,1122,622,7804,2,_50,576,1950,1928
158500,6,1152,Crawfor,1152,1092,0,14e3,1,_20,300,2004,1950
163e3,7,1768,OldTown,880,880,390,10800,2,_75,320,1970,1914
385e3,10,2084,NridgHt,2084,2078,1636,14803,3,_20,1220,2008,2007
176e3,7,1266,Somerst,1266,1257,0,7500,2,_20,453,2005,2005
126e3,5,1734,Mitchel,1302,0,0,10125,2,_90,539,1977,1977
35e4,8,2113,NoRidge,2113,2109,1696,10437,3,_20,839,1995,1995
108e3,5,996,Edwards,996,996,290,13907,0,_30,0,1969,1940
245350,8,1694,CollgCr,1694,1694,0,10475,3,_20,776,2008,2008
244e3,7,2110,NAmes,2110,2110,1065,11160,2,_20,522,1968,1968
175900,7,1569,Blmngtn,1569,1386,988,3635,3,_120,660,2007,2007
164e3,6,1216,Mitchel,1216,1216,897,4500,2,_120,402,1998,1998
311500,7,1954,Crawfor,1137,798,341,15660,2,_50,431,2006,1939
206e3,7,1208,CollgCr,1208,1187,686,6762,2,_20,632,2006,2006
230500,8,1936,Gilbert,1454,1406,0,11194,2,_60,504,2e3,2e3
173733,6,1224,Somerst,612,612,294,3e3,2,_160,528,2009,2009
268e3,7,2295,NoRidge,1166,1095,728,13346,2,_60,590,2e3,1992
79900,4,747,BrkSide,747,600,0,5825,2,_30,528,1953,1926
372500,8,2046,StoneBr,2046,2046,0,11844,3,_20,834,2008,2008
155e3,7,1416,Somerst,696,696,604,2572,2,_160,484,1999,1999
83500,4,1092,MeadowV,546,546,334,1974,1,_160,286,1973,1973
44e4,8,1976,NridgHt,1976,1976,1350,14977,3,_20,908,2007,2006
115e3,6,1639,SWISU,1166,1064,0,10480,1,_50,240,1950,1936
122e3,7,1889,OldTown,964,925,0,10120,1,_190,308,1950,1910
89500,6,987,BrDale,483,483,358,1680,1,_160,264,1971,1971
155900,6,848,CollgCr,848,848,662,4435,2,_120,420,2004,2004
160200,7,1145,Blmngtn,1145,1145,16,3182,2,_120,397,2006,2005
143e3,5,1144,NAmes,1144,1144,748,8163,1,_80,796,1959,1959
146500,5,1644,NAmes,888,728,386,9480,1,_70,312,1995,1942
149900,5,1078,NAmes,1078,1078,734,12537,2,_20,500,2008,1971
128950,4,1225,NAmes,1225,950,569,9320,0,_20,0,1959,1959
276e3,8,2574,CollgCr,1482,1482,0,9588,3,_60,868,2007,2007
214900,7,1894,Timber,824,817,624,11316,2,_60,510,2003,2002
216500,6,1960,Gilbert,860,860,625,7851,2,_60,440,2002,2002
195e3,7,1948,CollgCr,847,847,0,12393,2,_60,434,2005,2004
134500,5,1008,NAmes,1008,1008,643,8923,1,_20,240,2006,1953
55993,5,1044,IDOTRR,1044,540,0,8712,2,_20,504,1952,1952
16e4,6,1116,NAmes,1116,1116,0,1e4,2,_20,440,1962,1962
16e4,7,1472,Gilbert,802,384,0,10784,2,_80,402,1992,1991
305e3,8,2262,Timber,1482,1482,871,12244,3,_60,749,2003,2003
212900,7,1552,CollgCr,1552,1552,24,10084,3,_20,782,2006,2005
182900,6,1440,NWAmes,1440,1440,678,12546,2,_20,467,1981,1981
178e3,7,1641,OldTown,832,728,16,9600,2,_70,546,1990,1925
147e3,6,996,SawyerW,996,936,747,9069,2,_85,564,1992,1992
164900,5,1363,NAmes,1363,1008,650,14559,1,_20,288,2e3,1951
203e3,7,1274,CollgCr,1274,1274,925,8814,2,_20,508,2007,2005
180500,7,1442,Gilbert,1442,1424,0,11851,2,_20,500,1990,1990
162900,5,1573,BrkSide,1128,1078,0,6240,2,_50,360,1992,1930
106e3,6,987,BrDale,483,483,321,1869,1,_160,280,1970,1970
